time,index,confidence,x_norm,y_norm,base_data
195.623992037999,5869,1,0.57559488361927,0.446923037116427,4466.749137467-0.0
195.655983518999,5870,1,0.575429035680016,0.44597435267217,4466.781128948-0.0
195.692027171999,5871,1,0.575198056954012,0.445631580785305,4466.817172601-0.0
195.724027705,5872,1,0.575037959642757,0.445124847387095,4466.849173134-0.0
195.756003687,5873,1,0.575373847296997,0.44478880101417,4466.881149116-0.0
195.792022402,5874,1,0.575357143356684,0.446066530403229,4466.917167831-0.0
195.824042284999,5875,1,0.575708189316915,0.445669442357573,4466.949187714-0.0
195.855999035,5876,1,0.575337015921302,0.444416973054551,4466.981144464-0.0
195.892013152,5877,1,0.575357871519394,0.445342821480701,4467.017158581-0.0
195.924018479,5878,1,0.575368014022831,0.445422625630563,4467.049163908-0.0
195.955996408,5879,1,0.575222767583595,0.444273266295893,4467.081141837-0.0
195.988025098,5880,1,0.575096707364047,0.444810595745196,4467.113170527-0.0
196.023996978,5881,1,0.574818658174412,0.445264528135455,4467.149142407-0.0
196.055986332,5882,1,0.574289979028738,0.446205861404444,4467.181131761-0.0
196.087997645,5883,1,0.574238126301514,0.444987975948145,4467.213143074-0.0
196.124018986,5884,1,0.574274939949744,0.444416215711456,4467.249164415-0.0
196.155984432,5885,1,0.574824274701915,0.445891079712872,4467.281129861-0.0
196.187962425,5886,1,0.575253348098794,0.446341694383907,4467.313107854-0.0
196.223996751,5887,1,0.584466396744796,0.447507637026131,4467.34914218-0.0
196.367623669999,5891,0.992416859177215,0.585652578085941,0.460283337638519,4467.492769099-0.0
196.435735733,5893,1,0.582457767380847,0.462599288793809,4467.560881162-0.0
196.465989418,5894,1,0.581302445590739,0.46012851943093,4467.591134847-0.0
196.498880884,5895,1,0.580026857237087,0.458433803873948,4467.624026313-0.0
196.529393995,5896,1,0.579330197459894,0.456943556137464,4467.654539424-0.0
196.55837877,5897,1,0.578416378334479,0.455570268192354,4467.683524199-0.0
196.587969198,5898,1,0.578659319384494,0.455231831029771,4467.713114627-0.0
196.624005142,5899,1,0.578448764540173,0.45515212802483,4467.749150571-0.0
196.655986426999,5900,1,0.57799083609731,0.454789774498845,4467.781131856-0.0
196.688012565,5901,1,0.578025556045105,0.454939240236699,4467.813157994-0.0
196.724007305999,5902,1,0.577607311176684,0.453800328493291,4467.849152735-0.0
196.756026346,5903,1,0.577563550800875,0.454680866054122,4467.881171775-0.0
196.788411408,5904,1,0.576770588310774,0.453962423105022,4467.913556837-0.0
196.824018734,5905,1,0.577034623497038,0.454215535709642,4467.949164163-0.0
196.855990079,5906,1,0.576824304065282,0.454278088993963,4467.981135508-0.0
196.889214645999,5907,1,0.576577697829967,0.455073493643042,4468.014360075-0.0
196.923995085999,5908,0.945978054504124,0.566313747608845,0.454067105985928,4468.049140515-0.0
196.964251824,5909,1,0.559793335153522,0.459281387600239,4468.089397253-0.0
196.992549457999,5910,1,0.559402540820055,0.459129548151157,4468.117694887-0.0
197.027016988,5911,1,0.559288626853915,0.459402270731051,4468.152162417-0.0
197.056026824,5912,1,0.559116467556521,0.459138601363703,4468.181172253-0.0
197.088033989,5913,1,0.558740575638216,0.458611795474452,4468.213179418-0.0
197.124028538,5914,1,0.559211053554293,0.4584708465433,4468.249173967-0.0
197.156020889999,5915,1,0.558948850433733,0.457218185230925,4468.281166319-0.0
197.188000120999,5916,1,0.559080101149359,0.458157067162414,4468.31314555-0.0
197.224015893,5917,1,0.558328971158334,0.456821959335759,4468.349161322-0.0
197.256005996,5918,1,0.558001422711361,0.457460436359515,4468.381151425-0.0
197.290049132999,5919,1,0.558133185678346,0.45709674417985,4468.415194562-0.0
197.323960518,5920,0.905115105652772,0.569459360175605,0.467180855367598,4468.449105947-0.0
197.364831778,5921,1,0.569535800563545,0.465408063617812,4468.489977207-0.0
197.408405689999,5923,1,0.56975705582415,0.467259384199892,4468.533551119-0.0
197.437443137999,5924,1,0.569534671671162,0.467601626386216,4468.562588567-0.0
197.464607958999,5924,1,0.569775832639139,0.4674075773958,4468.589753388-0.0
197.494616374,5925,1,0.569277271892534,0.46668006352985,4468.619761803-0.0
197.523980311999,5926,1,0.569118296958487,0.466358291827241,4468.649125741-0.0
197.556008502,5927,1,0.569168026198348,0.465214101865106,4468.681153931-0.0
197.587961853999,5928,1,0.569487832907891,0.464369100479736,4468.713107283-0.0
197.624016872999,5929,1,0.569597791910123,0.464604008387621,4468.749162302-0.0
197.655994530999,5930,1,0.569440078525881,0.463878155862998,4468.78113996-0.0
197.687991831999,5931,1,0.569783830275203,0.463905349400823,4468.813137261-0.0
197.724014609999,5932,1,0.570001866235184,0.46432895793283,4468.849160039-0.0
197.755991681,5933,1,0.570047137657718,0.463278093906073,4468.88113711-0.0
197.788015511,5934,1,0.569694135443316,0.46332948654338,4468.91316094-0.0
197.824027717,5935,1,0.569708960158536,0.464766838954711,4468.949173146-0.0
197.856010113999,5936,1,0.570262299303524,0.465931596209423,4468.981155543-0.0
197.888012560999,5937,1,0.570010005026886,0.464595899860456,4469.01315799-0.0
197.924008325999,5938,1,0.569684136607195,0.463796879650541,4469.049153755-0.0
197.95606385,5939,1,0.569935541498031,0.464648010486755,4469.081209279-0.0
197.988351540999,5940,1,0.570059127419072,0.463187694164688,4469.11349697-0.0
198.024010481,5941,1,0.570556114396638,0.463401031330331,4469.14915591-0.0
198.056068438,5942,1,0.57076280583037,0.462937323795828,4469.181213867-0.0
198.088026791,5943,1,0.571280489983953,0.461888685876403,4469.21317222-0.0
198.123972859,5944,1,0.570884932953629,0.461158404654997,4469.249118288-0.0
198.155992319,5945,1,0.571591874804449,0.460602216928818,4469.281137748-0.0
198.187995296999,5946,1,0.570552006083211,0.461122187863088,4469.313140726-0.0
198.224020664999,5947,1,0.57057475194032,0.46024495653236,4469.349166094-0.0
198.255989806,5948,1,0.570673855347933,0.459233406837949,4469.381135235-0.0
198.287975577,5949,1,0.570731815988788,0.459528769200606,4469.413121006-0.0
198.323994703,5950,1,0.570392684532276,0.459679655838187,4469.449140132-0.0
198.355987774999,5951,1,0.571261021573842,0.459142941092075,4469.481133204-0.0
198.387998824,5952,1,0.57131309390628,0.458725927937131,4469.513144253-0.0
198.424013737,5953,1,0.571290115684885,0.457734737599601,4469.549159166-0.0
198.456507012999,5954,1,0.571041451717253,0.457751171716417,4469.581652442-0.0
198.488032798,5955,1,0.571392434826169,0.456024931552644,4469.613178227-0.0
198.524041516999,5956,1,0.570169071761999,0.458013917955682,4469.649186946-0.0
198.556482129,5957,1,0.57073985754235,0.464643540358992,4469.681627558-0.0
198.587999476999,5958,1,0.57117285194291,0.465579963554671,4469.713144906-0.0
198.624012075999,5959,1,0.57099291166765,0.466423496968346,4469.749157505-0.0
198.655988731,5960,1,0.571307873321241,0.46634705010189,4469.78113416-0.0
198.687960407,5961,1,0.570743166220622,0.466280358936617,4469.813105836-0.0
198.724030048,5962,1,0.570933342638437,0.465823446686411,4469.849175477-0.0
198.756004927,5963,1,0.570720060202001,0.465379509492497,4469.881150356-0.0
198.787993235,5964,1,0.570535976891517,0.466722011150102,4469.913138664-0.0
198.824006029,5965,1,0.570661241269845,0.465368165912057,4469.949151458-0.0
198.855990454,5966,1,0.570708334160759,0.465828852049603,4469.981135883-0.0
198.887999662999,5967,1,0.570660887731306,0.465766639127583,4470.013145092-0.0
198.924016319,5968,1,0.570455981651085,0.467026850966271,4470.049161748-0.0
198.956034012,5969,1,0.571160230772757,0.466611447671205,4470.081179441-0.0
198.98806765,5970,1,0.572216689426352,0.467219687886928,4470.113213079-0.0
199.132619235999,5974,0.998537598442924,0.573962058329621,0.475511806615145,4470.257764665-0.0
199.172936757,5976,1,0.573378561251627,0.476761470070915,4470.298082186-0.0
199.203252910999,5977,1,0.574987853692153,0.47465911960068,4470.32839834-0.0
199.345789026,5981,1,0.578321946371642,0.470620046916881,4470.470934455-0.0
199.385892482999,5982,1,0.577173597954713,0.472647498612677,4470.511037912-0.0
199.417611419,5983,1,0.576131084449174,0.470041672091133,4470.542756848-0.0
199.448802239999,5984,1,0.576071742902774,0.469155920444218,4470.573947669-0.0
199.479217868,5985,1,0.575449222418582,0.467528916127352,4470.604363297-0.0
199.506680021,5986,1,0.57477229711182,0.467401652223607,4470.63182545-0.0
199.535771522999,5987,1,0.574140328361423,0.467229634303857,4470.660916952-0.0
199.565864355,5987,1,0.574111233501569,0.466237390779829,4470.691009784-0.0
199.594072278,5988,1,0.573434288421215,0.46630398739034,4470.719217707-0.0
199.623976735999,5989,1,0.573450546638677,0.466674105487,4470.749122165-0.0
199.656040978,5990,1,0.572891594643636,0.465565416994071,4470.781186407-0.0
199.688014302999,5991,1,0.573487244182546,0.465710507561838,4470.813159732-0.0
199.724038468999,5992,1,0.572768135865442,0.465326785108598,4470.849183898-0.0
199.755992427,5993,1,0.572226128794526,0.466141470113042,4470.881137856-0.0
199.788024285999,5994,1,0.572169473413224,0.466310399169247,4470.913169715-0.0
199.824030348,5995,1,0.571773248214715,0.466557790080618,4470.949175777-0.0
199.856017436,5996,1,0.571878227748435,0.46692417712443,4470.981162865-0.0
199.887987880999,5997,1,0.571322076182596,0.466534910276717,4471.01313331-0.0
199.924017378999,5998,1,0.571077084055144,0.467875762973044,4471.049162808-0.0
199.955964692,5999,1,0.571524717681208,0.466641131083215,4471.081110121-0.0
199.988005828999,6000,1,0.571204530782159,0.466580996025772,4471.113151258-0.0
200.024004938,6001,1,0.571329116980651,0.466993321623839,4471.149150367-0.0
200.056036776,6002,1,0.570919153303526,0.466565059363019,4471.181182205-0.0
200.088019764,6003,1,0.570667422838369,0.46528437370198,4471.213165193-0.0
200.124035217999,6004,1,0.570800907558577,0.465870767517432,4471.249180647-0.0
200.156016561,6005,1,0.570951052850219,0.465454019806481,4471.28116199-0.0
200.187985398,6006,1,0.571071954691961,0.464558165248285,4471.313130827-0.0
200.224010587999,6007,1,0.570609502296578,0.463636130076427,4471.349156017-0.0
200.256034444,6008,1,0.570049547677036,0.463352404548793,4471.381179873-0.0
200.288001499,6009,1,0.570868214600617,0.463611865259757,4471.413146928-0.0
200.324035185,6010,1,0.571332576511865,0.462907502158227,4471.449180614-0.0
200.356008360999,6011,1,0.570936603022364,0.462381853631635,4471.48115379-0.0
200.387989639999,6012,1,0.571030094046444,0.462548064322831,4471.513135069-0.0
200.42401294,6013,1,0.57128562089511,0.461423546531719,4471.549158369-0.0
200.456261744,6014,1,0.570956453760968,0.460049347855957,4471.581407173-0.0
200.488029691999,6015,1,0.571127998847018,0.45978088904084,4471.613175121-0.0
200.524074473,6016,0.954110796307454,0.499091442506944,0.450867646405627,4471.649219902-0.0
200.556048613,6017,1,0.467303416602871,0.456326384360899,4471.681194042-0.0
200.589972721,6018,0.962000560426682,0.466411012030406,0.456331583777349,4471.71511815-0.0
200.624073954999,6019,1,0.465776227489428,0.457857577716547,4471.749219384-0.0
200.656040461,6020,1,0.466119586691513,0.457278679733143,4471.78118589-0.0
200.688008718999,6021,1,0.46561298926563,0.458290991989582,4471.813154148-0.0
200.72401474,6022,1,0.466496474339868,0.45879435272939,4471.849160169-0.0
200.756004856999,6023,1,0.466319793108047,0.457478412114497,4471.881150286-0.0
200.787992213,6024,1,0.466008408531457,0.456547480652265,4471.913137642-0.0
200.824012724,6025,1,0.46638998794042,0.456798799366016,4471.949158153-0.0
200.856035837,6026,1,0.46553938395069,0.459499722714163,4471.981181266-0.0
200.888003071999,6027,1,0.4662656899974,0.458801405415855,4472.013148501-0.0
200.924010141999,6028,1,0.466531702202957,0.458418513475362,4472.049155571-0.0
200.956031533,6029,1,0.465230666003883,0.457712438574688,4472.081176962-0.0
200.987989439999,6030,1,0.465654073641162,0.458369639194771,4472.113134869-0.0
201.02398036,6031,1,0.46511468467207,0.458655778655524,4472.149125789-0.0
201.056039493999,6032,1,0.465903983586659,0.47275251583166,4472.181184923-0.0
201.090484437,6033,1,0.466067611138045,0.472264087723069,4472.215629866-0.0
201.124067627999,6034,1,0.466033822788479,0.471810115185201,4472.249213057-0.0
201.156008399,6035,1,0.465661613175674,0.47192944046553,4472.281153828-0.0
201.188014101999,6036,1,0.465339997468028,0.472132114079208,4472.313159531-0.0
201.224011558999,6037,1,0.465919781657071,0.471413012556164,4472.349156988-0.0
201.256011201,6038,1,0.465523012286991,0.470976936376312,4472.38115663-0.0
201.288017026999,6039,1,0.465930677756743,0.471849731323221,4472.413162456-0.0
201.323988728,6040,1,0.465523350268633,0.472500706604929,4472.449134157-0.0
201.356030514,6041,1,0.45443789274747,0.476317555862876,4472.481175943-0.0
201.397095834,6042,0.969597739421073,0.454710815653224,0.479033539376731,4472.522241263-0.0
201.425407410999,6043,1,0.455214665233376,0.481535873321512,4472.55055284-0.0
201.455983371,6044,1,0.454896456915633,0.481971009117927,4472.5811288-0.0
201.487988962999,6045,1,0.455294266220583,0.48118770878347,4472.613134392-0.0
201.524022279,6046,1,0.45452363783585,0.482102315068181,4472.649167708-0.0
201.556028329999,6047,1,0.455255572261238,0.483105173632652,4472.681173759-0.0
201.588008780999,6048,1,0.454847852050087,0.481620891566212,4472.71315421-0.0
201.623983101,6049,1,0.454785223277832,0.481901661064793,4472.74912853-0.0
201.656038237,6050,1,0.454654503051681,0.481065814031535,4472.781183666-0.0
201.688026084,6051,1,0.454916092927181,0.480856645745778,4472.813171513-0.0
201.723972795,6052,1,0.454451499968124,0.480411278271372,4472.849118224-0.0
201.756010094999,6053,1,0.454023636342216,0.482042686117651,4472.881155524-0.0
201.787999966,6054,1,0.454030123065311,0.481657252137902,4472.913145395-0.0
201.823976223,6055,1,0.454255160962873,0.481587349029777,4472.949121652-0.0
201.855987037999,6056,1,0.454659541318021,0.480436323043877,4472.981132467-0.0
201.888009644999,6057,1,0.454640463704131,0.480930733288393,4473.013155074-0.0
201.924038274999,6058,1,0.454315942356117,0.479981433320212,4473.049183704-0.0
